symbol,price
BNBUSDT,567.30000000
ETHUSDT,2415.89000000
BTCUSDT,61133.31000000
BNBUSDT,567.30000000
BTCUSDT,61131.56000000
BNBUSDT,567.20000000
ETHUSDT,2415.90000000
BTCUSDT,61130.11000000
BNBUSDT,567.30000000
ETHUSDT,2415.90000000
BTCUSDT,61130.10000000
BNBUSDT,567.30000000
ETHUSDT,2416.50000000
BNBUSDT,567.20000000
BTCUSDT,61133.31000000
ETHUSDT,2416.56000000
BNBUSDT,567.20000000
BTCUSDT,61133.30000000
ETHUSDT,2416.60000000
BNBUSDT,567.30000000
BTCUSDT,61139.43000000
ETHUSDT,2416.96000000
BNBUSDT,567.30000000
BTCUSDT,61139.43000000
ETHUSDT,2417.00000000
BNBUSDT,567.50000000
BTCUSDT,61165.38000000
ETHUSDT,2417.39000000
BTCUSDT,61167.99000000
ETHUSDT,2417.74000000
BNBUSDT,567.60000000
BTCUSDT,61173.37000000
ETHUSDT,2417.73000000
BNBUSDT,567.50000000
BTCUSDT,61173.37000000
BNBUSDT,567.50000000
ETHUSDT,2417.73000000
BTCUSDT,61173.37000000
BNBUSDT,567.60000000
ETHUSDT,2417.74000000
BTCUSDT,61173.38000000
ETHUSDT,2417.73000000
BNBUSDT,567.60000000
ETHUSDT,2417.84000000
BTCUSDT,61173.38000000
BNBUSDT,567.70000000
ETHUSDT,2417.84000000
BTCUSDT,61173.37000000
BNBUSDT,567.70000000
ETHUSDT,2417.84000000
BNBUSDT,567.60000000
BTCUSDT,61173.37000000
BTCUSDT,61180.00000000
BNBUSDT,567.70000000
ETHUSDT,2417.84000000
BTCUSDT,61179.99000000
BNBUSDT,567.60000000
ETHUSDT,2417.84000000
BTCUSDT,61179.99000000
ETHUSDT,2417.74000000
BNBUSDT,567.70000000
BTCUSDT,61180.00000000
ETHUSDT,2417.74000000
BNBUSDT,567.70000000
BTCUSDT,61179.99000000
ETHUSDT,2417.74000000
BTCUSDT,61179.99000000
BNBUSDT,567.70000000
ETHUSDT,2417.74000000
BTCUSDT,61179.99000000
BNBUSDT,567.60000000
ETHUSDT,2417.74000000
BTCUSDT,61179.99000000
BNBUSDT,567.70000000
ETHUSDT,2417.74000000
BTCUSDT,61179.99000000
BNBUSDT,567.70000000
ETHUSDT,2418.14000000
BTCUSDT,61180.00000000
BNBUSDT,567.70000000
ETHUSDT,2418.54000000
BTCUSDT,61187.99000000
BNBUSDT,567.90000000
ETHUSDT,2419.89000000
BTCUSDT,61194.00000000
BNBUSDT,568.00000000
ETHUSDT,2419.76000000
BTCUSDT,61195.20000000
ETHUSDT,2419.71000000
BNBUSDT,568.00000000
BTCUSDT,61195.26000000
